alert,rule,file,initial_line,disposition,dismissal_reason,rationale,evidence
https://github.com/Brumbelow/layerleak/security/code-scanning/1001,ESLint8_security_detect-object-injection,web/assets/demo.js,80,dismissal,false positive,"The frames lookup uses a private numeric replay index: runDemo calls stepFrame(0), stepFrame computes next = index + 1, and only schedules stepFrame(next) when next < state.data.frames.length. No URL, event field, fixture key, or user-controlled property name supplies index. The same-origin bundled JSON fixture supplies an array; this read does not write properties or invoke the indexed value. The synthetic browser replay test checks both frame transitions and replay reset.",web/assets/demo.js; scripts/tests/test_demo.cjs; DEMO_BROWSER_PATH=/usr/bin/google-chrome npm test --prefix scripts/tests (5 passing browser tests)
https://github.com/Brumbelow/layerleak/security/code-scanning/1002,ESLint8_xss_no-mixed-html,web/assets/demo.js,82,source fix,Remove HTML interpretation of fixture status text.,Status rendering now creates a strong label with textContent and appends status using a text node. The fixture status is no longer concatenated into an HTML sink. A real-browser test confirms harmless markup-shaped status text remains literal and Status: stays inside strong.,web/assets/demo.js; scripts/tests/test_demo.cjs; DEMO_BROWSER_PATH=/usr/bin/google-chrome npm test --prefix scripts/tests (5 passing browser tests)
https://github.com/Brumbelow/layerleak/security/code-scanning/1003,ESLint8_no-unsanitized_property,web/assets/demo.js,82,source fix,Remove dynamic innerHTML status assignment.,"All demo status updates use renderStatus, which replaces children with a strong label and a text node; no status update assigns innerHTML. Literal-text and fixture-load-failure browser tests cover both successful replay and the error state.",web/assets/demo.js; scripts/tests/test_demo.cjs; DEMO_BROWSER_PATH=/usr/bin/google-chrome npm test --prefix scripts/tests (5 passing browser tests)
https://github.com/Brumbelow/layerleak/security/code-scanning/1004,ESLint8_security_detect-object-injection,web/assets/demo.js,191,source fix,Give fixture table names an own-property lookup boundary.,"Fixture tables are converted to a Map using Object.entries when loaded, and renderTable uses Map.get. Only own enumerable JSON table entries are available, so a missing table name cannot resolve an inherited object property. The browser test verifies that a missing constructor table produces the existing Unknown table state.",web/assets/demo.js; scripts/tests/test_demo.cjs; DEMO_BROWSER_PATH=/usr/bin/google-chrome npm test --prefix scripts/tests (5 passing browser tests)
https://github.com/Brumbelow/layerleak/security/code-scanning/1005,ESLint8_security_detect-object-injection,web/assets/demo.js,216,source fix,Give fixture row column names an own-property lookup boundary.,"Each rendered row is converted to a Map using Object.entries, and columns are read through Map.get. Missing inherited names render as the normal empty-cell marker while an explicitly supplied constructor field renders its own value. Browser checks also preserve null, absent, blank, boolean, numeric, object and literal-text cell formatting.",web/assets/demo.js; scripts/tests/test_demo.cjs; DEMO_BROWSER_PATH=/usr/bin/google-chrome npm test --prefix scripts/tests (5 passing browser tests)
https://github.com/Brumbelow/layerleak/security/code-scanning/1201,Lizard_ccn-minor,internal/storage/migrate.go,52,dismissal,won't fix,"RunMigrations: accepted cyclomatic complexity debt. The sequence validates the complete migration set before connecting, owns one database connection and advisory lock, loads/adopts the ledger, validates checksums, applies pending files and verifies schema. Per-file application is already delegated. Retaining resource lifetime and migration ordering in one top-level routine is reasonable; existing migration tests cover sequence rejection, checksum/idempotence and legacy adoption.",internal/storage/migrate.go:RunMigrations; internal/storage/migrate_test.go:TestRunMigrationsRejectsNonContiguousSetBeforeConnecting; internal/storage/storage_integration_test.go:TestRunMigrationsTracksChecksumsAndIsIdempotent
https://github.com/Brumbelow/layerleak/security/code-scanning/1202,Lizard_ccn-minor,internal/storage/migrate.go,509,dismissal,won't fix,"inspectLegacySchema: accepted cyclomatic complexity debt. The routine recognizes the four supported legacy schema stages from base tables, metadata columns, scan_runs and hardening markers, then validates the complete selected contract before adoption. Keeping the ordered stage checks together exposes partial-migration rejection. Existing integration tests cover incomplete legacy schemas and directly applied version-four adoption.",internal/storage/migrate.go:inspectLegacySchema; internal/storage/migrate.go:validateSchemaContract; internal/storage/storage_integration_test.go:TestRunMigrationsRejectsIncompleteLegacySchema; internal/storage/storage_integration_test.go:TestRunMigrationsAdoptsSchemaAppliedDirectlyThroughVersionFour
https://github.com/Brumbelow/layerleak/security/code-scanning/1203,Lizard_ccn-minor,internal/storage/migrate.go,638,dismissal,won't fix,"hasStorageHardeningMarker: accepted cyclomatic complexity debt. This is a short staged presence probe for a version-four column, constraints and indexes, propagating query errors at each stage. Its result selects which full contract inspectLegacySchema must validate; marker presence alone does not establish validity. Keep the version exclusions and early return in one routine. Existing version-four adoption coverage exercises that caller path.",internal/storage/migrate.go:hasStorageHardeningMarker; internal/storage/migrate.go:inspectLegacySchema; internal/storage/storage_integration_test.go:TestRunMigrationsAdoptsSchemaAppliedDirectlyThroughVersionFour
https://github.com/Brumbelow/layerleak/security/code-scanning/1204,Lizard_ccn-minor,internal/storage/migrate.go,680,dismissal,won't fix,"requireSchemaColumns: accepted cyclomatic complexity debt. The routine keeps the catalog query, per-table column snapshot and versioned type/nullability/default requirements together. Its branches are explicit failure diagnostics for the schema contract; requirements and default comparison already have separate representations/helpers. Existing column-drift integration cases check missing identity default, wrong type and unexpected nullability. Retain this cohesive validation flow.",internal/storage/migrate.go:requireSchemaColumns; internal/storage/migrate.go:schemaColumnDefaultMatches; internal/storage/storage_integration_test.go:TestPostgresStoreRequireSchemaRejectsColumnDefinitionDrift
https://github.com/Brumbelow/layerleak/security/code-scanning/1205,Lizard_ccn-minor,internal/storage/migrate.go,777,dismissal,won't fix,"requireSchemaConstraints: accepted cyclomatic complexity debt. The routine matches named or definition-based requirements for the requested schema version, then checks validation state and normalized definition. These distinctions must remain visible because a constraint name alone is insufficient. Existing drift integration cases cover missing unique/foreign-key constraints and a same-name wrong check. Retain the catalog-to-contract comparison as one flow.",internal/storage/migrate.go:requireSchemaConstraints; internal/storage/migrate.go:normalizeSchemaDefinition; internal/storage/storage_integration_test.go:TestPostgresStoreRequireSchemaRejectsConstraintDrift
